region,year,category,mode,powertrain,ev_sales,ev_sales_yoy_growth,ev_stock,ev_stock_yoy_growth,total_stations,total_stations_yoy_growth
China,2013,Historical,Cars,EV,,,,,319.0,0.0
China,2014,Historical,Cars,EV,,,,,319.0,0.0
China,2015,Historical,Cars,EV,,,,,319.0,0.0
China,2016,Historical,Cars,EV,,,,,319.0,0.0
China,2017,Historical,Cars,EV,,,,,319.0,0.0
China,2018,Historical,Cars,EV,,,,,319.0,0.0
China,2019,Historical,Cars,EV,,,,,319.0,0.0
China,2020,Historical,Cars,EV,,,,,319.0,0.0
China,2021,Historical,Cars,EV,,,,,319.0,0.0
China,2022,Historical,Cars,EV,,,,,319.0,0.0
China,2023,Historical,Cars,EV,,,,,319.0,0.0
China,2010,Historical,Trucks,EV,,,,,319.0,
China,2011,Historical,Trucks,EV,,,,,319.0,0.0
China,2012,Historical,Trucks,EV,,,,,319.0,0.0
China,2013,Historical,Trucks,EV,,,,,319.0,0.0
China,2014,Historical,Trucks,EV,,,,,319.0,0.0
China,2015,Historical,Trucks,EV,,,,,319.0,0.0
China,2016,Historical,Trucks,EV,,,,,319.0,0.0
China,2017,Historical,Trucks,EV,,,,,319.0,0.0
China,2018,Historical,Trucks,EV,,,,,319.0,0.0
China,2019,Historical,Trucks,EV,,,,,319.0,0.0
China,2020,Historical,Trucks,EV,,,,,319.0,0.0
China,2021,Historical,Trucks,EV,,,,,319.0,0.0
China,2022,Historical,Trucks,EV,,,,,319.0,0.0
China,2023,Historical,Trucks,EV,,,,,319.0,0.0
China,2010,Historical,Vans,EV,,,,,319.0,
China,2011,Historical,Vans,EV,,,,,319.0,0.0
China,2012,Historical,Vans,EV,,,,,319.0,0.0
China,2013,Historical,Vans,EV,,,,,319.0,0.0
China,2014,Historical,Vans,EV,,,,,319.0,0.0
China,2015,Historical,Vans,EV,,,,,319.0,0.0
China,2016,Historical,Vans,EV,,,,,319.0,0.0
China,2017,Historical,Vans,EV,,,,,319.0,0.0
China,2018,Historical,Vans,EV,,,,,319.0,0.0
China,2019,Historical,Vans,EV,,,,,319.0,0.0
China,2020,Historical,Vans,EV,,,,,319.0,0.0
China,2021,Historical,Vans,EV,,,,,319.0,0.0
China,2022,Historical,Vans,EV,,,,,319.0,0.0
China,2023,Historical,Vans,EV,,,,,319.0,0.0
Colombia,2015,Historical,Cars,EV,,,,,,
Colombia,2016,Historical,Cars,EV,,,,,,
Colombia,2017,Historical,Cars,EV,,,,,,
Colombia,2018,Historical,Cars,EV,,,,,,
Colombia,2019,Historical,Cars,EV,,,,,,
Colombia,2020,Historical,Cars,EV,,,,,,
Colombia,2021,Historical,Cars,EV,,,,,,
Colombia,2022,Historical,Cars,EV,,,,,,
Colombia,2023,Historical,Cars,EV,,,,,,
Costa Rica,2015,Historical,Cars,EV,,,,,,
Costa Rica,2016,Historical,Cars,EV,,,,,,
Costa Rica,2017,Historical,Cars,EV,,,,,,
Costa Rica,2018,Historical,Cars,EV,,,,,,
Costa Rica,2019,Historical,Cars,EV,,,,,,
Costa Rica,2020,Historical,Cars,EV,,,,,,
Costa Rica,2021,Historical,Cars,EV,,,,,,
Costa Rica,2022,Historical,Cars,EV,,,,,,
Costa Rica,2023,Historical,Cars,EV,,,,,,
Croatia,2019,Historical,Cars,EV,,,,,,
Croatia,2020,Historical,Cars,EV,,,,,,
Croatia,2021,Historical,Cars,EV,,,,,,
Croatia,2022,Historical,Cars,EV,,,,,,
Croatia,2023,Historical,Cars,EV,,,,,,
Cyprus,2019,Historical,Cars,EV,,,,,,
Cyprus,2020,Historical,Cars,EV,,,,,,
Cyprus,2021,Historical,Cars,EV,,,,,,
Cyprus,2022,Historical,Cars,EV,,,,,,
Cyprus,2023,Historical,Cars,EV,,,,,,
Czech Republic,2015,Historical,Cars,EV,,,,,,
Czech Republic,2016,Historical,Cars,EV,,,,,,
Czech Republic,2017,Historical,Cars,EV,,,,,,
Czech Republic,2018,Historical,Cars,EV,,,,,,
Czech Republic,2019,Historical,Cars,EV,,,,,,
Czech Republic,2020,Historical,Cars,EV,,,,,,
Czech Republic,2021,Historical,Cars,EV,,,,,,
Czech Republic,2022,Historical,Cars,EV,,,,,,
Czech Republic,2023,Historical,Cars,EV,,,,,,
Denmark,2011,Historical,Buses,EV,,,,,,
Denmark,2012,Historical,Buses,EV,,,,,,
Denmark,2013,Historical,Buses,EV,,,,,,
Denmark,2014,Historical,Buses,EV,,,,,,
Denmark,2015,Historical,Buses,EV,,,,,,
Denmark,2016,Historical,Buses,EV,,,,,,
Denmark,2017,Historical,Buses,EV,,,,,,
Denmark,2018,Historical,Buses,EV,,,,,,
Denmark,2019,Historical,Buses,EV,,,,,,
Denmark,2020,Historical,Buses,EV,,,,,,
Denmark,2021,Historical,Buses,EV,,,,,,
Denmark,2022,Historical,Buses,EV,,,,,,
Denmark,2023,Historical,Buses,EV,,,,,,
Denmark,2010,Historical,Cars,EV,,,,,,
Denmark,2011,Historical,Cars,EV,,,,,,
Denmark,2012,Historical,Cars,EV,,,,,,
Denmark,2013,Historical,Cars,EV,,,,,,
Denmark,2014,Historical,Cars,EV,,,,,,
Denmark,2015,Historical,Cars,EV,,,,,,
Denmark,2016,Historical,Cars,EV,,,,,,
Denmark,2017,Historical,Cars,EV,,,,,,
Denmark,2018,Historical,Cars,EV,,,,,,
Denmark,2019,Historical,Cars,EV,,,,,,
Denmark,2020,Historical,Cars,EV,,,,,,
Denmark,2021,Historical,Cars,EV,,,,,,
Denmark,2022,Historical,Cars,EV,,,,,,
Denmark,2023,Historical,Cars,EV,,,,,,
Denmark,2010,Historical,Trucks,EV,,,,,,
Denmark,2011,Historical,Trucks,EV,,,,,,
Denmark,2012,Historical,Trucks,EV,,,,,,
Denmark,2013,Historical,Trucks,EV,,,,,,
Denmark,2014,Historical,Trucks,EV,,,,,,
Denmark,2015,Historical,Trucks,EV,,,,,,
Denmark,2016,Historical,Trucks,EV,,,,,,
Denmark,2017,Historical,Trucks,EV,,,,,,
Denmark,2018,Historical,Trucks,EV,,,,,,
Denmark,2019,Historical,Trucks,EV,,,,,,
Denmark,2020,Historical,Trucks,EV,,,,,,
Denmark,2021,Historical,Trucks,EV,,,,,,
Denmark,2022,Historical,Trucks,EV,,,,,,
Denmark,2023,Historical,Trucks,EV,,,,,,
Denmark,2010,Historical,Vans,EV,,,,,,
Denmark,2011,Historical,Vans,EV,,,,,,
Denmark,2012,Historical,Vans,EV,,,,,,
Denmark,2013,Historical,Vans,EV,,,,,,
Denmark,2014,Historical,Vans,EV,,,,,,
Denmark,2015,Historical,Vans,EV,,,,,,
Denmark,2016,Historical,Vans,EV,,,,,,
Denmark,2017,Historical,Vans,EV,,,,,,
Denmark,2018,Historical,Vans,EV,,,,,,
Denmark,2019,Historical,Vans,EV,,,,,,
Denmark,2020,Historical,Vans,EV,,,,,,
Denmark,2021,Historical,Vans,EV,,,,,,
Denmark,2022,Historical,Vans,EV,,,,,,
Denmark,2023,Historical,Vans,EV,,,,,,
EU27,2010,Historical,Buses,EV,,,,,,
EU27,2011,Historical,Buses,EV,,,,,,
EU27,2012,Historical,Buses,EV,,,,,,
EU27,2013,Historical,Buses,EV,,,,,,
EU27,2014,Historical,Buses,EV,,,,,,
EU27,2015,Historical,Buses,EV,,,,,,
EU27,2016,Historical,Buses,EV,,,,,,
EU27,2017,Historical,Buses,EV,,,,,,
EU27,2018,Historical,Buses,EV,,,,,,
EU27,2019,Historical,Buses,EV,,,,,,
EU27,2020,Historical,Buses,EV,,,,,,
EU27,2021,Historical,Buses,EV,,,,,,
EU27,2022,Historical,Buses,EV,,,,,,
EU27,2023,Historical,Buses,EV,,,,,,
EU27,2010,Historical,Cars,EV,,,,,,
EU27,2011,Historical,Cars,EV,,,,,,
EU27,2012,Historical,Cars,EV,,,,,,
EU27,2013,Historical,Cars,EV,,,,,,
EU27,2014,Historical,Cars,EV,,,,,,
EU27,2015,Historical,Cars,EV,,,,,,
EU27,2016,Historical,Cars,EV,,,,,,
EU27,2017,Historical,Cars,EV,,,,,,
EU27,2018,Historical,Cars,EV,,,,,,
EU27,2019,Historical,Cars,EV,,,,,,
EU27,2020,Historical,Cars,EV,,,,,,
EU27,2021,Historical,Cars,EV,,,,,,
EU27,2022,Historical,Cars,EV,,,,,,
EU27,2023,Historical,Cars,EV,,,,,,
EU27,2010,Historical,Trucks,EV,,,,,,
EU27,2011,Historical,Trucks,EV,,,,,,
EU27,2012,Historical,Trucks,EV,,,,,,
EU27,2013,Historical,Trucks,EV,,,,,,
EU27,2014,Historical,Trucks,EV,,,,,,
EU27,2015,Historical,Trucks,EV,,,,,,
EU27,2016,Historical,Trucks,EV,,,,,,
EU27,2017,Historical,Trucks,EV,,,,,,
EU27,2018,Historical,Trucks,EV,,,,,,
EU27,2019,Historical,Trucks,EV,,,,,,
EU27,2020,Historical,Trucks,EV,,,,,,
EU27,2021,Historical,Trucks,EV,,,,,,
EU27,2022,Historical,Trucks,EV,,,,,,
EU27,2023,Historical,Trucks,EV,,,,,,
EU27,2010,Historical,Vans,EV,,,,,,
EU27,2011,Historical,Vans,EV,,,,,,
EU27,2012,Historical,Vans,EV,,,,,,
EU27,2013,Historical,Vans,EV,,,,,,
EU27,2014,Historical,Vans,EV,,,,,,
EU27,2015,Historical,Vans,EV,,,,,,
EU27,2016,Historical,Vans,EV,,,,,,
EU27,2017,Historical,Vans,EV,,,,,,
EU27,2018,Historical,Vans,EV,,,,,,
EU27,2019,Historical,Vans,EV,,,,,,
EU27,2020,Historical,Vans,EV,,,,,,
EU27,2021,Historical,Vans,EV,,,,,,
EU27,2022,Historical,Vans,EV,,,,,,
EU27,2023,Historical,Vans,EV,,,,,,
Estonia,2015,Historical,Cars,EV,,,,,,
Estonia,2016,Historical,Cars,EV,,,,,,
Estonia,2017,Historical,Cars,EV,,,,,,
Estonia,2018,Historical,Cars,EV,,,,,,
Estonia,2019,Historical,Cars,EV,,,,,,
Estonia,2020,Historical,Cars,EV,,,,,,
Estonia,2021,Historical,Cars,EV,,,,,,
Estonia,2022,Historical,Cars,EV,,,,,,
Estonia,2023,Historical,Cars,EV,,,,,,
Europe,2010,Historical,Buses,EV,,,,,,
Europe,2011,Historical,Buses,EV,,,,,,
Europe,2012,Historical,Buses,EV,,,,,,
Europe,2013,Historical,Buses,EV,,,,,,
Europe,2014,Historical,Buses,EV,,,,,,
Europe,2015,Historical,Buses,EV,,,,,,
Europe,2016,Historical,Buses,EV,,,,,,
Europe,2017,Historical,Buses,EV,,,,,,
Europe,2018,Historical,Buses,EV,,,,,,
Europe,2019,Historical,Buses,EV,,,,,,
Europe,2020,Historical,Buses,EV,,,,,,
Europe,2021,Historical,Buses,EV,,,,,,
Europe,2022,Historical,Buses,EV,,,,,,
Europe,2023,Historical,Buses,EV,,,,,,
Europe,2010,Historical,Cars,EV,,,,,,
Europe,2011,Historical,Cars,EV,,,,,,
Europe,2012,Historical,Cars,EV,,,,,,
Europe,2013,Historical,Cars,EV,,,,,,
Europe,2014,Historical,Cars,EV,,,,,,
Europe,2015,Historical,Cars,EV,,,,,,
Europe,2016,Historical,Cars,EV,,,,,,
Europe,2017,Historical,Cars,EV,,,,,,
Europe,2018,Historical,Cars,EV,,,,,,
Europe,2019,Historical,Cars,EV,,,,,,
Europe,2020,Historical,Cars,EV,,,,,,
Europe,2021,Historical,Cars,EV,,,,,,
Europe,2022,Historical,Cars,EV,,,,,,
Europe,2023,Historical,Cars,EV,,,,,,
Europe,2010,Historical,Trucks,EV,,,,,,
Europe,2011,Historical,Trucks,EV,,,,,,
Europe,2012,Historical,Trucks,EV,,,,,,
Europe,2013,Historical,Trucks,EV,,,,,,
Europe,2014,Historical,Trucks,EV,,,,,,
Europe,2015,Historical,Trucks,EV,,,,,,
Europe,2016,Historical,Trucks,EV,,,,,,
Europe,2017,Historical,Trucks,EV,,,,,,
Europe,2018,Historical,Trucks,EV,,,,,,
Europe,2019,Historical,Trucks,EV,,,,,,
Europe,2020,Historical,Trucks,EV,,,,,,
Europe,2021,Historical,Trucks,EV,,,,,,
Europe,2022,Historical,Trucks,EV,,,,,,
Europe,2023,Historical,Trucks,EV,,,,,,
Europe,2010,Historical,Vans,EV,,,,,,
Europe,2011,Historical,Vans,EV,,,,,,
Europe,2012,Historical,Vans,EV,,,,,,
Europe,2013,Historical,Vans,EV,,,,,,
Europe,2014,Historical,Vans,EV,,,,,,
Europe,2015,Historical,Vans,EV,,,,,,
Europe,2016,Historical,Vans,EV,,,,,,
Europe,2017,Historical,Vans,EV,,,,,,
Europe,2018,Historical,Vans,EV,,,,,,
Europe,2019,Historical,Vans,EV,,,,,,
Europe,2020,Historical,Vans,EV,,,,,,
Europe,2021,Historical,Vans,EV,,,,,,
Europe,2022,Historical,Vans,EV,,,,,,
Europe,2023,Historical,Vans,EV,,,,,,
Finland,2016,Historical,Buses,EV,,,,,,
Finland,2017,Historical,Buses,EV,,,,,,
